jar,date.cat,date,species,treatment,sump,sal,stock.ml,HCl.ml,NaOH.ml,Ca.ml,jar.wt,jar.muss.wt,jar.muss.h2o.wt,h2o.wt,wet.wt,origin,num.bys,tray.wt,tray.gut.wt,gut.wt,shell.wt,shell.length,shell.color,nbs.ph.0,ph.0,mv.0,spec.0,spec.t.0,ph.t.0,do.0,do.perc.0,do.t.0,ca.mv.0,ca.free.0,ca.meas.0,ca.sd.0,date.in,time.in,date.out,time.out,nbs.ph.1,ph.1,mv.1,spec.1,spec.t.1,ph.t.1,do.1,do.perc.1,do.t.1,ca.mv.1,ca.free.1,ca.meas.1,ca.sd.1,alk.0,alk.sd.0,alk.1,alk.sd.1,nh3.0,nh3.1,psi.0,psi.1,comments,light,first.sec,cluster,caldo.0,caldo.1,delox,delph,delta,delam,delt,delfreeca,corrdelta,start.time,end.time,duration,gut,h2o.kg,calph.0,calph.1,R,E,G,flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
1,mar.2020,2020-03-06,mytilus_californianus,shell,34,33.7,18.97,23.615,0,0,NA,NA,NA,808.13,16.4,jenner,NA,NA,NA,NA,15.32,NA,NA,7.526,NA,NA,7.448502056,13.4,13.7,256.2,NA,13.4,NA,NA,NA,NA,2020-03-06,18:39:00,2020-03-06,21:32:00,7.535,NA,NA,7.454504336,13.2,13.4,255.4,NA,13.2,NA,NA,NA,NA,3623.107144,NA,3626.740705,NA,NA,NA,0,0,shells from 2020-01-14,dark,first,0,NA,NA,NA,0.009,0.003633561,NA,-0.2,NA,NA,2020-03-06 18:39:00,2020-03-06 21:32:00,2.883333333,NA,0.80813,,,NA,,-0.03323763169,8,33.7,13.55,1,0,7.5305,9.25E-05,2343.834193,2352.509401,2343.834193,2352.509401,2343.834193,2352.509484,0.003441896226,7.96E-05,0.003613956563,0.003624923925,1.221951756,1.912803318
12,mar.2020,2020-03-06,mytilus_californianus,shell,34,33.7,21.71,28.261,0,0,NA,NA,NA,811.42,16.98,carmet,NA,NA,NA,NA,16.05,NA,NA,7.515,NA,NA,7.433975342,13.3,13.7,259.3,NA,13.3,NA,NA,NA,NA,2020-03-06,17:57:00,2020-03-06,21:22:00,7.514,NA,NA,7.438453056,13.3,13.5,258.7,NA,13.3,NA,NA,NA,NA,4025.147235,NA,4016.079547,NA,NA,NA,0,0,shells from 2020-01-14,dark,first,0,NA,NA,NA,-0.001,-0.009067688,NA,0,NA,NA,2020-03-06 17:57:00,2020-03-06 21:22:00,3.416666667,NA,0.81142,,,NA,,0.06708642258,8,33.7,13.6,1,0,7.5145,0.0001065265383,2704.414023,2714.421596,2704.414023,2714.421596,2704.414023,2714.421706,0.003826645861,8.55E-05,0.004018631974,0.004020613391,1.312111966,2.053724521
13,mar.2020,2020-03-06,mytilus_californianus,shell,34,33.7,16.23,17.169,0,0,NA,NA,NA,804.02,24.5,jenner,NA,NA,NA,NA,23.69,NA,NA,8.182,NA,NA,8.087779627,13.4,13.7,258.7,NA,13.4,NA,NA,NA,NA,2020-03-06,17:51:00,2020-03-06,21:43:00,8.149,NA,NA,8.07497915,13.3,13.5,258.2,NA,13.3,NA,NA,NA,NA,3425.553403,NA,3402.193823,NA,NA,NA,0,0,shells from 2020-01-14,dark,first,0,NA,NA,NA,-0.033,-0.02335958,NA,-0.1,NA,NA,2020-03-06 17:51:00,2020-03-06 21:43:00,3.866666667,NA,0.80402,,,NA,,0.102517992,8,33.7,13.6,1,0,8.1655,1.73E-05,437.9645643,439.5812873,437.9645643,439.5812873,437.9645643,439.5812902,0.002772120276,0.0002773632459,0.003066737147,0.003413873613,4.258556727,6.665472494
14,mar.2020,2020-03-06,mytilus_californianus,shell,34,33.7,8.61,0.255,0,0,NA,NA,NA,857.19,22.58,carmet,NA,NA,NA,NA,22.33,NA,NA,8.99,NA,NA,8.899480092,13.4,13.6,260.2,NA,13.4,NA,NA,NA,NA,2020-03-06,17:44:00,2020-03-06,20:55:00,8.971,NA,NA,8.871687724,13.3,13.5,259.6,NA,13.3,NA,NA,NA,NA,2662.126775,NA,2649.307764,NA,NA,NA,0,0,shells from 2020-01-14,dark,first,0,NA,NA,NA,-0.019,-0.012819011,NA,-0.1,NA,NA,2020-03-06 17:44:00,2020-03-06 20:55:00,3.183333333,NA,0.85719,,,NA,,0.07729133,8,33.7,13.55,1,0,8.9805,9.86E-07,25.00327177,25.09558394,25.00327177,25.09558394,25.00327177,25.09558395,0.001034385519,0.0006741834294,0.001709555403,0.00265571727,10.34987079,16.20132144
16,mar.2020,2020-03-06,mytilus_californianus,shell,34,33.7,11.15,15.426,0,0,NA,NA,NA,827.74,19.14,carmet,NA,NA,NA,NA,18.75,NA,NA,7.084,NA,NA,7.015779641,13.3,13.6,257.4,NA,13.3,NA,NA,NA,NA,2020-03-06,17:20:00,2020-03-06,21:19:00,7.117,NA,NA,7.061890631,13.2,13.5,257.1,NA,13.2,NA,NA,NA,NA,2063.777126,NA,2086.141701,NA,NA,NA,0,0,shells from 2020-01-14,dark,first,0,NA,NA,NA,0.033,0.022364575,NA,-0.1,NA,NA,2020-03-06 17:20:00,2020-03-06 21:19:00,3.983333333,NA,0.82774,,,NA,,-0.123930064,8,33.7,13.55,1,0,7.1005,0.0001469186953,3724.276808,3738.082338,3724.276808,3738.082338,3724.276808,3738.082547,0.002030941757,1.75E-05,0.002195324627,0.002074959414,0.2681032971,0.4196816492
17,mar.2020,2020-03-06,mytilus_californianus,shell,34,33.7,11.05,9.889,0,0,NA,NA,NA,842.64,15.51,jenner,NA,NA,NA,NA,15.07,NA,NA,8.282,NA,NA,8.180232733,13.3,13.6,257.6,NA,13.3,NA,NA,NA,NA,2020-03-06,17:15:00,2020-03-06,21:45:00,8.251,NA,NA,8.158294543,13.3,13.5,257.1,NA,13.3,NA,NA,NA,NA,2542.019589,NA,2525.901471,NA,NA,NA,0,0,shells from 2020-01-14,dark,first,0,NA,NA,NA,-0.031,-0.016118118,NA,0,NA,NA,2020-03-06 17:15:00,2020-03-06 21:45:00,4.5,NA,0.84264,,,NA,,0.1001383982,8,33.7,13.55,1,0,8.2665,9.58E-06,242.9055607,243.8025891,242.9055607,243.8025891,242.9055607,243.80259,0.001940796257,0.0002445083334,0.002194888062,0.00253396053,3.75363111,5.875789237
18,mar.2020,2020-03-06,mytilus_californianus,shell,34,33.7,7.43,10.073,0,0,NA,NA,NA,850.94,9.33,carmet,NA,NA,NA,NA,9.08,NA,NA,6.953,NA,NA,6.899318512,13.2,13.5,257.8,NA,13.2,NA,NA,NA,NA,2020-03-06,17:10:00,2020-03-06,20:58:00,6.985,NA,NA,6.921097933,13.4,13.7,257.3,NA,13.4,NA,NA,NA,NA,1403.506262,NA,1428.484924,NA,NA,NA,0,0,shells from 2020-01-14,dark,first,0,NA,NA,NA,0.032,0.024978662,NA,0.2,NA,NA,2020-03-06 17:10:00,2020-03-06 20:58:00,3.8,NA,0.85094,,,NA,,-0.3080127325,8,33.7,13.6,1,0,6.969,0.0001360948306,3454.766004,3467.561251,3454.766004,3467.561251,3454.766004,3467.561431,0.001391579556,8.86E-06,0.001536534656,0.001415995593,0.1360384363,0.2129262166
19,mar.2020,2020-03-06,mytilus_californianus,shell,34,33.7,12.22,14.437,0,0,NA,NA,NA,851.85,13.59,jenner,NA,NA,NA,NA,12.76,NA,NA,7.69,NA,NA,7.582202326,13.3,13.6,257.7,NA,13.3,NA,NA,NA,NA,2020-03-06,17:06:00,2020-03-06,20:38:00,7.668,NA,NA,7.559797027,13.3,13.5,257,NA,13.3,NA,NA,NA,NA,2497.353805,NA,2507.607899,NA,NA,NA,0,0,shells from 2020-01-14,dark,first,0,NA,NA,NA,-0.022,0.010254094,NA,0,NA,NA,2020-03-06 17:06:00,2020-03-06 20:38:00,3.533333333,NA,0.85185,,,NA,,-0.09687130302,8,33.7,13.55,1,0,7.679,4.43E-05,1122.062556,1126.21022,1122.062556,1126.21022,1122.062556,1126.210239,0.002318648286,7.55E-05,0.002438416193,0.002502480852,1.159047257,1.814329482
21,mar.2020,2020-03-06,mytilus_californianus,shell,34,33.7,0.1,0,3.863,0,NA,NA,NA,849.03,9.69,jenner,NA,NA,NA,NA,8.86,NA,NA,7.233,NA,NA,7.145324955,13.3,13.6,257.8,NA,13.3,NA,NA,NA,NA,2020-03-06,16:54:00,2020-03-06,20:29:00,7.234,NA,NA,7.149146473,13.2,13.5,257.6,NA,13.2,NA,NA,NA,NA,1833.241717,NA,1856.405044,NA,NA,NA,0,0,shells from 2020-01-14,dark,first,0,NA,NA,NA,0.001,0.023163327,NA,-0.1,NA,NA,2020-03-06 16:54:00,2020-03-06 20:29:00,3.583333333,NA,0.84903,,,NA,,-0.3097227076,8,33.7,13.55,1,0,7.2335,9.53E-05,2416.157055,2425.100858,2416.157055,2425.100858,2416.157055,2425.100946,0.001790714014,2.09E-05,0.001906933238,0.001844823381,0.3208306131,0.5022177758
22,mar.2020,2020-03-06,mytilus_californianus,shell,34,33.7,6.65,0.241,0,0,NA,NA,NA,857.3,14.47,carmet,NA,NA,NA,NA,13.65,NA,NA,8.811,NA,NA,8.71775767,13.3,13.6,258.3,NA,13.3,NA,NA,NA,NA,2020-03-06,16:46:00,2020-03-06,20:50:00,8.786,NA,NA,8.694355576,13.2,13.4,257.4,NA,13.2,NA,NA,NA,NA,2056.222462,NA,2049.369999,NA,NA,NA,0,0,shells from 2020-01-14,dark,first,0,NA,NA,NA,-0.025,-0.006852463,NA,-0.1,NA,NA,2020-03-06 16:46:00,2020-03-06 20:50:00,4.066666667,NA,0.8573,,,NA,,0.05291493902,8,33.7,13.5,1,0,8.7985,1.43E-06,36.18995721,36.3236625,36.18995721,36.3236625,36.18995721,36.32366252,0.0009846510159,0.0004212638724,0.001407345041,0.002052796231,6.466359821,10.12320842
